rg_id,rg_title,imdb_id,primary_type
c41d4ed9-641e-3071-8b2e-209c0d03d1a9,Blood,tt0284915,Album
6ced61f7-c403-3531-8c98-55c0c888be53,There's Something About Mary,tt0129387,Album
95055893-2dce-3991-9723-a2472f5af0c1,The Waterboy,tt0120484,Album
94acd5fb-3782-35fd-a4be-0dab31b1ba14,The Messenger: The Story of Joan of Arc,tt0151137,Album
3f4b4701-580c-3284-9b42-33fe6716d33c,Waiting to Exhale: Original Soundtrack Album,tt0114885,Album
d676427f-a288-3329-af1c-9acb993e70dc,Drowning by Numbers,tt0092929,Album
98471b71-d480-35eb-bdd3-14ad968c9f4a,Flashdance: Original Soundtrack from the Motion Picture,tt0085549,Album
57febff4-e050-3af7-9c36-fc729fcbd437,Jay and Silent Bob Strike Back: Music From the Motion Picture,tt0261392,Album
890b264e-6ec1-3724-a7b2-09d1df9bf0f5,"Crooklyn, Volume 1",tt0109504,Album
c58c36f9-1058-3e03-9cd1-7710d96a5e8d,Bandits,tt0118682,Album
622b8b87-e9a2-3758-9689-03707f217081,1492: Conquest of Paradise: Music From the Original Soundtrack,tt0103594,Album
3507e404-be3d-3c44-88a3-2ea99a636071,Benny & Joon,tt0106387,Album
221c9f52-d139-34bf-9b08-121213b5cc60,Waking Ned Devine,tt0166396,Album
93d88198-d685-33ba-a09b-736d3ba73b6c,Elizabeth,tt0127536,Album
af2c9be7-4dde-347b-ba03-24533ab22571,Rudy,tt0108002,Album
9c7e31a1-4665-3802-af71-93e1cf4355b9,A Knight's Tale: Music From the Motion Picture,tt0183790,Album
650ebbf1-e25c-3f13-ac2b-d98010c1c5ee,William Shakespeare’s Romeo + Juliet: Music From the Motion Picture,tt0117509,Album
935c2c8a-65ec-369d-91d4-cb1cdd307b15,Grosse Pointe Blank,tt0119229,Album
869446a6-046b-3012-89ae-93e02ce3a34f,Airheads: Original Soundtrack Album,tt0109068,Album
81d27c75-9680-3b3f-acc3-a6e52b864c84,Natural Born Killers: A Soundtrack for an Oliver Stone Film,tt0110632,Album
